FID,time,XCO2Dpp,XCH4Dpp,TempC,SPCScm,ChlARFU,ChlAgL,BGAPCRF,BGAPCL,TurbFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Pressps,NITRATEU,NITRATEM,ABS254,ABS350,TINT,TSPEC,TLAMP,Temp_ta,SPC_tau,pH_tau,fDOM_QS,ODO_tau,ChlA_ta,Turb_ta,CO2_tau,CH4uM,CH4Sat,CO2uM,CO2Sat,CO2uM_t,CO2St_t
57,10/2/2014 8:35,"1,786.26",170.324,16.219,334.8,1.29,5.19,-0.52,-0.48,3.05,25.66,79.01,60.6,5.95,7.66,-1.114,0,0,0,0,0,0,0,16.221,334.8,7.66,81.29,60.6,5.03,3.035,"1,767.21",0.289401662,"8,917.49",80.30316727,446.565,79.4467548,441.8025
58,10/2/2014 8:35,"1,788.13",170.156,16.219,334.8,1.3,5.22,-0.52,-0.48,3.05,25.59,78.79,60.6,5.95,7.66,-1.114,0,0,0,0,0,0,0,16.221,334.8,7.66,81.65,60.6,5.27,3.035,"1,778.30",0.289116209,"8,908.69",80.38723505,447.0325,79.94531723,444.575
59,10/2/2014 8:35,"1,785.97",170.311,16.219,334.8,1.3,5.24,-0.51,-0.48,3.05,25.59,78.8,60.6,5.95,7.66,-1.113,0,0,0,0,0,0,0,16.22,334.8,7.66,81.95,60.6,5.7,3.03,"1,787.84",0.289385448,"8,916.81",80.29262104,446.4925,80.37669143,446.96
60,10/2/2014 8:36,"1,786.18",170.202,16.219,334.8,1.3,5.23,-0.52,-0.48,3.07,25.62,78.88,60.6,5.95,7.66,-1.113,0,0,0,0,0,0,0,16.22,334.8,7.66,81.96,60.6,5.76,3.04,"1,809.77",0.28920024,"8,911.10",80.3020621,446.545,81.36260787,452.4425
61,10/2/2014 8:36,"1,787.33",170.271,16.219,334.8,1.3,5.25,-0.51,-0.48,3.06,25.68,79.09,60.6,5.95,7.66,-1.112,0,0,0,0,0,0,0,16.22,334.8,7.66,81.93,60.4,5.67,3.03,"1,805.91",0.289317482,"8,914.71",80.35376314,446.8325,81.18907219,451.4775
62,10/2/2014 8:36,"1,784.36",170.289,16.22,334.8,1.31,5.28,-0.52,-0.49,3.07,25.78,79.37,60.6,5.95,7.66,-1.112,0,0,0,0,0,0,0,16.22,334.8,7.66,81.75,60.2,5.5,3.045,"1,782.68",0.289348067,"8,915.65",80.22023958,446.09,80.1447111,445.67
63,10/2/2014 8:36,"1,787.41",170.064,16.22,334.8,1.31,5.27,-0.52,-0.49,3.08,25.86,79.64,60.6,5.95,7.66,-1.112,22.45,0.31,0.64,0.3,19.2,20,20.2,16.221,334.8,7.66,81.67,60.2,5.43,3.05,"1,786.08",0.28895989,"8,903.87",80.35486671,446.8525,80.29507518,446.52
64,10/2/2014 8:36,"1,788.13",170.384,16.22,334.8,1.31,5.29,-0.52,-0.49,3.08,25.99,80.04,60.6,5.95,7.66,-1.111,0,0,0,0,0,0,0,16.222,334.8,7.66,81.64,60.3,5.38,3.06,"1,798.95",0.289497732,"8,920.63",80.38474114,447.0325,80.87115034,449.7375
65,10/2/2014 8:36,"1,785.30",170.593,16.22,334.8,1.32,5.3,-0.53,-0.49,3.08,26.09,80.34,60.6,5.95,7.66,-1.111,0,0,0,0,0,0,0,16.222,334.8,7.66,81.73,60.5,5.34,3.02,"1,794.23",0.289852842,"8,931.57",80.2575195,446.325,80.65896444,448.5575
66,10/2/2014 8:36,"1,788.67",170.471,16.22,334.8,1.32,5.32,-0.53,-0.5,3.08,26.2,80.68,60.6,5.94,7.66,-1.11,0,0,0,0,0,0,0,16.222,334.8,7.66,81.83,60.5,5.35,3.015,"1,755.57",0.289645553,"8,925.18",80.40901664,447.1675,78.92101804,438.8925
67,10/2/2014 8:36,"1,788.90",170.676,16.22,334.8,1.32,5.3,-0.53,-0.49,3.06,26.28,80.91,60.6,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.221,334.8,7.66,81.98,60.5,5.33,2.975,"1,754.36",0.289999754,"8,935.92",80.4218512,447.225,78.86906975,438.59
68,10/2/2014 8:36,"1,787.17",170.433,16.22,334.8,1.32,5.33,-0.53,-0.5,3.07,26.33,81.09,60.5,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.221,334.7,7.66,82.14,60.5,5.31,2.965,"1,767.50",0.289586867,"8,923.19",80.34407726,446.7925,79.45979205,441.875
69,10/2/2014 8:36,"1,789.42",170.041,16.22,334.8,1.26,5.08,-0.51,-0.47,3.06,26.37,81.18,60.5,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.222,334.6,7.66,82.14,60.5,5.32,2.98,"1,768.86",0.288914944,"8,902.67",80.44273262,447.355,79.51846521,442.215
70,10/2/2014 8:36,"1,787.84",170.362,16.221,334.8,1.27,5.1,-0.51,-0.48,3.06,26.39,81.25,60.5,5.94,7.66,-1.11,0,0,0,0,0,0,0,16.223,334.6,7.66,82.12,60.5,5.28,3.005,"1,754.79",0.289454476,"8,919.48",80.36921089,446.96,78.88350612,438.6975
71,10/2/2014 8:36,"1,792.87",170.182,16.221,334.8,1.3,5.23,-0.52,-0.49,3.05,26.41,81.33,60.5,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.223,334.7,7.66,81.84,60.5,5.28,3.05,"1,755.18",0.289148646,"8,910.05",80.59532572,448.2175,78.90103789,438.795
72,10/2/2014 8:36,"1,789.68",170.724,16.221,334.8,1.33,5.37,-0.54,-0.51,3.06,26.44,81.4,60.5,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.223,334.8,7.66,81.53,60.5,5.27,3.035,"1,764.54",0.290069534,"8,938.43",80.45192486,447.42,79.32180027,441.135
73,10/2/2014 8:36,"1,789.73",170.075,16.221,334.8,1.34,5.41,-0.54,-0.51,3.05,26.47,81.51,60.5,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.222,334.7,7.66,81.05,60.5,5.32,3.015,"1,783.83",0.288972713,"8,904.45",80.45666856,447.4325,80.19143618,445.9575
74,10/2/2014 8:36,"1,791.21",170.493,16.221,334.7,1.35,5.45,-0.54,-0.51,3.06,26.49,81.57,60.5,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.222,334.7,7.66,80.49,60.5,5.35,3.015,"1,800.62",0.289682933,"8,926.34",80.52320143,447.8025,80.94622459,450.155
75,10/2/2014 8:36,"1,794.29",170.402,16.221,334.7,1.35,5.45,-0.54,-0.51,3.05,26.55,81.74,60.5,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.222,334.6,7.66,79.89,60.3,5.38,3.02,"1,795.68",0.289528316,"8,921.57",80.66166172,448.5725,80.72414867,448.92
76,10/2/2014 8:36,"1,791.90",170.726,16.222,334.7,1.35,5.42,-0.53,-0.5,3.04,26.57,81.8,60.5,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.222,334.8,7.66,79.24,60.1,5.42,3.02,"1,793.10",0.290078821,"8,938.53",80.55422013,447.975,80.6081657,448.275
77,10/2/2014 8:36,"1,782.48",170.644,16.222,334.8,1.35,5.42,-0.53,-0.5,3.04,26.58,81.85,60.5,5.94,7.66,-1.109,22.44,0.31,0.64,0.31,19.3,20.1,20.2,16.222,334.8,7.66,78.68,60.1,5.46,3,"1,810.31",0.289939495,"8,934.24",80.13074742,445.62,81.38183506,452.5775
78,10/2/2014 8:36,"1,790.10",169.779,16.222,334.7,1.34,5.41,-0.53,-0.5,3.02,26.58,81.84,60.5,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.222,334.7,7.66,78.13,60.2,5.47,2.96,"1,817.11",0.288469783,"8,888.95",80.47330178,447.525,81.68752661,454.2775
79,10/2/2014 8:36,"1,782.33",169.415,16.222,334.7,1.34,5.38,-0.52,-0.49,3.02,26.55,81.74,60.5,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.222,334.7,7.66,77.88,60.4,5.41,2.96,"1,826.51",0.287851314,"8,869.90",80.12400422,445.5825,82.11010023,456.6275
80,10/2/2014 8:36,"1,782.26",169.539,16.222,334.7,1.34,5.39,-0.53,-0.5,3.02,26.5,81.59,60.5,5.93,7.66,-1.108,0,0,0,0,0,0,0,16.222,334.6,7.66,77.88,60.4,5.36,2.965,"1,818.76",0.288062001,"8,876.39",80.1208574,445.565,81.76170177,454.69
81,10/2/2014 8:36,"1,787.64",168.736,16.222,334.7,1.33,5.36,-0.52,-0.49,3.03,26.41,81.31,60.5,5.93,7.66,-1.108,0,0,0,0,0,0,0,16.222,334.7,7.66,78.23,60.4,5.37,2.985,"1,819.51",0.286697632,"8,834.35",80.36271336,446.91,81.79541775,454.8775
82,10/2/2014 8:36,"1,781.01",170.15,16.222,334.8,1.33,5.36,-0.53,-0.5,3.03,26.31,81.02,60.4,5.93,7.66,-1.107,0,0,0,0,0,0,0,16.222,334.7,7.66,78.74,60.4,5.39,3.015,"1,806.73",0.289100145,"8,908.38",80.0646641,445.2525,81.22089745,451.6825
83,10/2/2014 8:36,"1,782.59",169.385,16.222,334.7,1.33,5.34,-0.53,-0.49,3.02,26.18,80.61,60.4,5.93,7.66,-1.106,0,0,0,0,0,0,0,16.222,334.7,7.66,79.4,60.4,5.44,3.03,"1,780.96",0.287800341,"8,868.32",80.13569243,445.6475,80.06241636,445.24
84,10/2/2014 8:36,"1,787.36",169.442,16.222,334.7,1.32,5.33,-0.52,-0.49,3.02,26.05,80.22,60.4,5.93,7.66,-1.106,0,0,0,0,0,0,0,16.222,334.7,7.66,80.02,60.4,5.42,3.045,"1,780.30",0.287897189,"8,871.31",80.35012606,446.84,80.0327463,445.075
85,10/2/2014 8:36,"1,788.48",169.436,16.222,334.7,1.32,5.31,-0.51,-0.48,3.03,25.91,79.77,60.4,5.93,7.66,-1.105,0,0,0,0,0,0,0,16.222,334.7,7.66,80.63,60.4,5.43,3.055,"1,802.67",0.287886995,"8,870.99",80.40047526,447.12,81.03838161,450.6675
86,10/2/2014 8:36,"1,780.95",169.273,16.222,334.7,1.32,5.32,-0.52,-0.49,3.02,25.78,79.38,60.4,5.93,7.66,-1.104,0,0,0,0,0,0,0,16.222,334.7,7.66,81.27,60.4,5.41,3.07,"1,810.25",0.287610043,"8,862.46",80.06196682,445.2375,81.37913778,452.5625
87,10/2/2014 8:36,"1,787.83",169.916,16.222,334.7,1.33,5.34,-0.53,-0.49,3.02,25.69,79.11,60.4,5.93,7.66,-1.103,0,0,0,0,0,0,0,16.222,334.7,7.66,81.62,60.2,5.35,3.095,"1,789.83",0.288702558,"8,896.13",80.37125474,446.9575,80.46116402,447.4575
88,10/2/2014 8:36,"1,787.41",169.451,16.222,334.7,1.33,5.34,-0.52,-0.49,3.01,25.65,78.99,60.4,5.93,7.66,-1.103,22.39,0.31,0.64,0.31,19.3,20.1,20.2,16.222,334.7,7.66,82,60,5.28,3.08,"1,781.87",0.287912481,"8,871.78",80.35237379,446.8525,80.10332509,445.4675
89,10/2/2014 8:36,"1,786.52",169.105,16.222,334.7,1.33,5.35,-0.53,-0.5,3,25.66,79.01,60.4,5.93,7.66,-1.102,0,0,0,0,0,0,0,16.222,334.7,7.66,82.04,60,5.31,3.055,"1,786.38",0.287324596,"8,853.66",80.31236416,446.63,80.30607051,446.595
90,10/2/2014 8:36,"1,783.86",168.975,16.222,334.7,1.34,5.39,-0.54,-0.5,3,25.69,79.11,60.4,5.93,7.66,-1.101,0,0,0,0,0,0,0,16.222,334.7,7.66,82.07,60.1,5.38,3.025,"1,818.56",0.287103714,"8,846.86",80.19278482,445.965,81.75271084,454.64
91,10/2/2014 8:36,"1,783.42",168.719,16.222,334.7,1.34,5.41,-0.54,-0.51,3,25.78,79.4,60.4,5.93,7.66,-1.101,0,0,0,0,0,0,0,16.222,334.7,7.66,81.92,60.3,5.43,3.04,"1,826.99",0.286668747,"8,833.46",80.17300478,445.855,82.13167846,456.7475
92,10/2/2014 8:36,"1,782.47",168.512,16.222,334.7,1.34,5.4,-0.55,-0.52,3,25.85,79.61,60.4,5.92,7.66,-1.1,0,0,0,0,0,0,0,16.222,334.7,7.66,81.75,60.3,5.4,3.045,"1,806.44",0.286317036,"8,822.62",80.13029787,445.6175,81.2078606,451.61
93,10/2/2014 8:36,"1,783.82",168.626,16.222,334.7,1.33,5.36,-0.55,-0.52,3.01,25.99,80.03,60.4,5.92,7.66,-1.1,0,0,0,0,0,0,0,16.222,334.7,7.66,81.58,60.3,5.3,3.07,"1,781.42",0.286510732,"8,828.59",80.19098664,445.955,80.0830955,445.355
94,10/2/2014 8:36,"1,779.82",168.131,16.222,334.7,1.34,5.39,-0.55,-0.51,3.01,26.09,80.35,60.3,5.92,7.66,-1.099,0,0,0,0,0,0,0,16.222,334.7,7.66,81.52,60.3,5.27,3.085,"1,778.44",0.285669682,"8,802.67",80.01116807,444.955,79.94913067,444.61
95,10/2/2014 8:36,"1,779.15",168.257,16.222,334.7,1.34,5.39,-0.55,-0.51,3.02,26.2,80.67,60.3,5.92,7.66,-1.099,0,0,0,0,0,0,0,16.222,334.7,7.66,81.65,60.3,5.32,3.085,"1,793.71",0.285883768,"8,809.27",79.98104846,444.7875,80.63558803,448.4275
96,10/2/2014 8:36,"1,779.98",167.799,16.222,334.7,1.34,5.4,-0.54,-0.51,3.02,26.29,80.94,60.3,5.92,7.66,-1.099,0,0,0,0,0,0,0,16.222,334.7,7.66,81.75,60.3,5.33,3.065,"1,807.56",0.285105585,"8,785.29",80.01836082,444.995,81.2582098,451.89
97,10/2/2014 8:36,"1,779.84",167.672,16.222,334.7,1.34,5.4,-0.55,-0.52,3.04,26.35,81.13,60.3,5.92,7.66,-1.098,0,0,0,0,0,0,0,16.222,334.7,7.66,82.08,60.3,5.37,3.045,"1,797.45",0.2848898,"8,778.64",80.01206717,444.96,80.80371838,449.3625
98,10/2/2014 8:36,"1,780.30",167.915,16.222,334.7,1.34,5.41,-0.55,-0.52,3.04,26.4,81.29,60.3,5.92,7.66,-1.098,0,0,0,0,0,0,0,16.222,334.7,7.66,82.04,60.3,5.38,3.05,"1,802.55",0.285302679,"8,791.36",80.0327463,445.075,81.03298705,450.6375
99,10/2/2014 8:36,"1,783.99",168.136,16.222,334.7,1.34,5.41,-0.55,-0.52,3.04,26.4,81.3,60.3,5.92,7.66,-1.097,0,0,0,0,0,0,0,16.222,334.7,7.66,82.21,60.3,5.42,3.08,"1,807.63",0.285678178,"8,802.93",80.19862892,445.9975,81.26135662,451.9075
100,10/2/2014 8:36,"1,779.79",168.028,16.222,334.7,1.34,5.4,-0.55,-0.51,3.03,26.43,81.39,60.3,5.92,7.66,-1.097,0,0,0,0,0,0,0,16.222,334.7,7.66,81.92,60.3,5.4,3.08,"1,778.46",0.285494676,"8,797.28",80.00981943,444.9475,79.95002976,444.615
101,10/2/2014 8:36,"1,783.55",167.727,16.222,334.7,1.33,5.35,-0.54,-0.51,3.04,26.41,81.32,60.3,5.92,7.66,-1.096,22.37,0.31,0.64,0.31,19.4,20.1,20.2,16.222,334.7,7.66,81.7,60.3,5.36,3.06,"1,794.48",0.28498325,"8,781.52",80.17884888,445.8875,80.6702031,448.62
102,10/2/2014 8:36,"1,787.32",168.278,16.222,334.7,1.33,5.34,-0.53,-0.5,3.04,26.46,81.49,60.3,5.92,7.66,-1.096,0,0,0,0,0,0,0,16.222,334.7,7.66,81.27,60.3,5.34,3.03,"1,802.88",0.285919449,"8,810.37",80.34832788,446.83,81.04782208,450.72
103,10/2/2014 8:36,"1,785.79",168.099,16.222,334.7,1.34,5.38,-0.54,-0.5,3.04,26.45,81.46,60.3,5.92,7.66,-1.095,0,0,0,0,0,0,0,16.222,334.7,7.66,80.69,60.3,5.36,3.015,"1,821.32",0.285615312,"8,800.99",80.27954728,446.4475,81.87678565,455.33
104,10/2/2014 8:36,"1,788.29",168.131,16.222,334.7,1.34,5.4,-0.54,-0.51,3.05,26.53,81.68,60.3,5.92,7.66,-1.095,0,0,0,0,0,0,0,16.222,334.8,7.66,80.2,60.3,5.43,3.02,"1,821.63",0.285669682,"8,802.67",80.39193388,447.0725,81.89072159,455.4075
105,10/2/2014 8:36,"1,790.44",168.112,16.222,334.7,1.34,5.38,-0.54,-0.5,3.06,26.54,81.72,60.3,5.92,7.66,-1.095,0,0,0,0,0,0,0,16.222,334.9,7.66,79.47,60.3,5.4,3.05,"1,812.94",0.2856374,"8,801.68",80.48858635,447.61,81.50006576,453.235
106,10/2/2014 8:36,"1,791.10",168.537,16.222,334.7,1.33,5.36,-0.53,-0.5,3.05,26.57,81.81,60.3,5.92,7.66,-1.095,0,0,0,0,0,0,0,16.221,334.9,7.66,78.93,60.3,5.35,3.07,"1,819.04",0.286365327,"8,823.93",80.52075448,447.775,81.7768261,454.76
107,10/2/2014 8:36,"1,787.59",168.531,16.222,334.7,1.32,5.32,-0.53,-0.5,3.05,26.59,81.86,60.3,5.92,7.66,-1.094,0,0,0,0,0,0,0,16.22,334.9,7.66,78.26,60.3,5.3,3.095,"1,820.10",0.286360946,"8,823.61",80.36545208,446.8975,81.82701812,455.025
108,10/2/2014 8:36,"1,788.77",168.355,16.222,334.7,1.33,5.35,-0.52,-0.49,3.05,26.55,81.74,60.3,5.92,7.66,-1.094,0,0,0,0,0,0,0,16.22,334.8,7.66,77.84,60.3,5.29,3.08,"1,824.82",0.286061894,"8,814.40",80.41850184,447.1925,82.03921719,456.205
109,10/2/2014 8:36,"1,790.07",168.318,16.222,334.7,1.33,5.35,-0.52,-0.49,3.06,26.53,81.68,60.3,5.92,7.66,-1.094,0,0,0,0,0,0,0,16.22,334.8,7.66,77.68,60.3,5.29,3.09,"1,810.91",0.285999025,"8,812.46",80.4769465,447.5175,81.41385934,452.7275
110,10/2/2014 8:36,"1,792.39",168.68,16.222,334.8,1.33,5.34,-0.52,-0.49,3.06,26.44,81.4,60.3,5.92,7.66,-1.094,0,0,0,0,0,0,0,16.221,334.8,7.66,77.69,60.3,5.28,3.09,"1,808.43",0.286608301,"8,831.41",80.57874776,448.0975,81.29984257,452.1075
111,10/2/2014 8:36,"1,789.34",168.765,16.222,334.8,1.33,5.35,-0.52,-0.48,3.06,26.36,81.15,60.3,5.92,7.66,-1.094,0,0,0,0,0,0,0,16.22,334.8,7.66,78.13,60.3,5.24,3.09,"1,816.41",0.286758549,"8,835.86",80.44412758,447.335,81.66112521,454.1025
112,10/2/2014 8:36,"1,789.44",168.21,16.222,334.8,1.34,5.38,-0.52,-0.49,3.05,26.24,80.79,60.3,5.92,7.66,-1.093,22.46,0.31,0.64,0.31,19.4,20.1,20.3,16.219,334.7,7.66,78.59,60.3,5.25,3.085,"1,815.10",0.285821318,"8,806.81",80.4511193,447.36,81.60476274,453.775
113,10/2/2014 8:36,"1,790.39",168.272,16.221,334.8,1.34,5.39,-0.52,-0.49,3.05,26.1,80.36,60.3,5.92,7.66,-1.093,0,0,0,0,0,0,0,16.219,334.6,7.66,79.35,60.3,5.25,3.055,"1,822.12",0.285926668,"8,810.05",80.49383018,447.5975,81.92037369,455.53
114,10/2/2014 8:36,"1,790.60",168.56,16.221,334.8,1.33,5.35,-0.53,-0.49,3.04,25.97,79.97,60.3,5.92,7.66,-1.093,0,0,0,0,0,0,0,16.219,334.7,7.66,79.89,60.3,5.31,3.04,"1,810.11",0.286416036,"8,825.13",80.50327154,447.65,81.38041821,452.5275
115,10/2/2014 8:36,"1,795.46",168.79,16.221,334.8,1.33,5.36,-0.53,-0.5,3.05,25.8,79.44,60.3,5.92,7.66,-1.093,0,0,0,0,0,0,0,16.219,334.8,7.66,80.57,60.3,5.34,3.07,"1,827.60",0.286806851,"8,837.17",80.72177142,448.865,82.16674805,456.9
116,10/2/2014 8:36,"1,793.52",168.645,16.221,334.8,1.33,5.36,-0.53,-0.5,3.05,25.72,79.19,60.3,5.92,7.66,-1.093,0,0,0,0,0,0,0,16.218,334.9,7.66,80.9,60.3,5.42,3.105,"1,828.50",0.286566285,"8,829.58",80.63705309,448.38,82.20976157,457.125
